circuitId,circuitRef,name,location,country,lat,lng,alt,url
circuitID63,sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483,,http://en.wikipedia.org/wiki/Sebring_Raceway
circuitID64,ain-diab,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
circuitID65,pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508,,http://en.wikipedia.org/wiki/Pescara_Circuit
circuitID66,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,,http://en.wikipedia.org/wiki/Circuit_Bremgarten
circuitID67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,,http://en.wikipedia.org/wiki/Pedralbes_Circuit
circuitID68,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,,http://en.wikipedia.org/wiki/Buddh_International_Circuit
circuitID69,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
circuitID70,red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,,http://en.wikipedia.org/wiki/Red_Bull_Ring
circuitID71,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,,http://en.wikipedia.org/wiki/Sochi_Autodrom
circuitID72,port_imperial,Port Imperial Street Circuit,New Jersey,USA,40.7769,-74.0111,,http://en.wikipedia.org/wiki/Port_Imperial_Street_Circuit
circuitID73,BAK,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,,http://en.wikipedia.org/wiki/Baku_City_Circuit
