constructorId,constructorRef,name,nationality,url,
consID136,pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz
consID137,arzani-volpini,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini
consID138,nichels,Nichels,American,http://en.wikipedia.org/wiki/Nichels
consID139,bromme,Bromme,American,http://en.wikipedia.org/wiki/Bromme
consID140,klenk,Klenk,German,http://en.wikipedia.org/wiki/Klenk
consID141,simca,Simca,French,http://en.wikipedia.org/wiki/Simca
consID142,turner,Turner,American,http://en.wikipedia.org/wiki/Turner_(constructor)
consID143,del_roy,Del Roy,American,http://en.wikipedia.org/wiki/Del_Roy
consID144,veritas,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor)
consID145,bmw,BMW,German,http://en.wikipedia.org/wiki/BMW
consID146,emw,EMW,East German,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk
consID147,afm,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau
consID148,frazer_nash,Frazer Nash,British,http://en.wikipedia.org/wiki/Frazer_Nash
consID149,sherman,Sherman,American,http://en.wikipedia.org/wiki/Sherman_(constructor)
consID150,deidt,Deidt,American,http://en.wikipedia.org/wiki/Deidt
consID151,era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles
consID152,butterworth,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth
consID153,cisitalia,Cisitalia,Italian,http://en.wikipedia.org/wiki/Cisitalia
consID154,lago,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago
consID155,hall,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor)
consID156,marchese,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor)
consID157,langley,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor)
consID158,rae,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport)
consID159,olson,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor)
consID160,wetteroth,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth
consID161,adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor)
consID162,snowberger,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger
consID163,milano,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano
consID164,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
consID167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
consID166,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
consID168,cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
consID169,cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
consID170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
consID171,cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
consID172,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
consID173,lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus
consID174,de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso
consID175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso
consID176,lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus
consID177,lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus
consID178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
consID179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso
consID180,lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus
consID181,brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham
consID182,brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham
consID183,brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham
consID184,lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
consID185,lds-alfa_romeo,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
consID186,cooper-ford,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
consID187,mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren
consID188,mclaren-seren,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren
consID189,eagle-climax,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
consID190,eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
consID191,brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham
consID192,cooper-ferrari,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
consID193,cooper-ats,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
consID194,mclaren-brm,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing)
consID195,cooper-brm,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
consID196,matra-ford,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra
consID197,brm-ford,BRM-Ford,British,http://en.wikipedia.org/wiki/BRM
consID198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,http://en.wikipedia.org/wiki/McLaren_(racing)
