constructorResultsId,raceId,constructorId,points,status
consResID233,raceID40,consID3,2,NULL
consResID234,raceID40,consID5,0,NULL
consResID235,raceID40,consID11,0,NULL
consResID236,raceID40,consID9,0,NULL
consResID237,raceID40,consID7,0,NULL
consResID238,raceID40,consID8,0,NULL
consResID239,raceID40,consID12,0,NULL
consResID240,raceID41,consID1,12,D
consResID241,raceID41,consID2,8,NULL
consResID242,raceID41,consID3,6,NULL
consResID243,raceID41,consID4,5,NULL
consResID244,raceID41,consID6,4,NULL
consResID245,raceID41,consID8,3,NULL
consResID246,raceID41,consID7,1,NULL
consResID247,raceID41,consID9,0,NULL
consResID248,raceID41,consID11,0,NULL
consResID249,raceID41,consID5,0,NULL
consResID250,raceID41,consID12,0,NULL
consResID251,raceID42,consID1,18,D
consResID252,raceID42,consID6,11,NULL
consResID253,raceID42,consID4,4,NULL
consResID254,raceID42,consID7,3,NULL
consResID255,raceID42,consID9,2,NULL
consResID256,raceID42,consID2,1,NULL
consResID257,raceID42,consID3,0,NULL
consResID258,raceID42,consID8,0,NULL
consResID259,raceID42,consID11,0,NULL
consResID260,raceID42,consID5,0,NULL
consResID261,raceID42,consID12,0,NULL
consResID262,raceID43,consID6,18,NULL
consResID263,raceID43,consID1,8,D
consResID264,raceID43,consID2,9,NULL
consResID265,raceID43,consID4,3,NULL
consResID266,raceID43,consID11,1,NULL
consResID267,raceID43,consID3,0,NULL
consResID268,raceID43,consID7,0,NULL
consResID269,raceID43,consID9,0,NULL
consResID270,raceID43,consID8,0,NULL
consResID271,raceID43,consID12,0,NULL
consResID272,raceID43,consID5,0,NULL
consResID273,raceID44,consID6,14,NULL
consResID274,raceID44,consID1,14,D
consResID275,raceID44,consID2,8,NULL
consResID276,raceID44,consID4,3,NULL
consResID277,raceID44,consID11,0,NULL
consResID278,raceID44,consID9,0,NULL
consResID279,raceID44,consID3,0,NULL
consResID280,raceID44,consID8,0,NULL
consResID281,raceID44,consID12,0,NULL
consResID282,raceID44,consID5,0,NULL
consResID283,raceID44,consID7,0,NULL
consResID284,raceID45,consID1,10,D
consResID285,raceID45,consID6,8,NULL
consResID286,raceID45,consID9,10,NULL
consResID287,raceID45,consID3,5,NULL
consResID288,raceID45,consID2,5,NULL
consResID289,raceID45,consID4,1,NULL
consResID290,raceID45,consID11,0,NULL
consResID291,raceID45,consID8,0,NULL
consResID292,raceID45,consID7,0,NULL
consResID293,raceID45,consID12,0,NULL
consResID294,raceID45,consID5,0,NULL
consResID295,raceID46,consID1,15,D
consResID296,raceID46,consID6,8,NULL
consResID297,raceID46,consID2,10,NULL
consResID298,raceID46,consID7,3,NULL
consResID299,raceID46,consID3,2,NULL
consResID300,raceID46,consID4,1,NULL
consResID301,raceID46,consID9,0,NULL
consResID302,raceID46,consID8,0,NULL
consResID303,raceID46,consID5,0,NULL
consResID304,raceID46,consID12,0,NULL
consResID305,raceID46,consID11,0,NULL
consResID306,raceID47,consID6,18,NULL
consResID307,raceID47,consID1,10,D
consResID308,raceID47,consID2,6,NULL
consResID309,raceID47,consID4,3,NULL
consResID310,raceID47,consID3,2,NULL
consResID311,raceID47,consID9,0,NULL
consResID312,raceID47,consID7,0,NULL
consResID313,raceID47,consID11,0,NULL
consResID314,raceID47,consID8,0,NULL
consResID315,raceID47,consID5,0,NULL
consResID316,raceID47,consID12,0,NULL
consResID317,raceID48,consID1,18,D
consResID318,raceID48,consID6,6,NULL
consResID319,raceID48,consID2,9,NULL
consResID320,raceID48,consID3,3,NULL
consResID321,raceID48,consID4,2,NULL
consResID322,raceID48,consID11,1,NULL
consResID323,raceID48,consID9,0,NULL
consResID324,raceID48,consID7,0,NULL
consResID325,raceID48,consID8,0,NULL
consResID326,raceID48,consID5,0,NULL
consResID327,raceID48,consID12,0,NULL
consResID328,raceID49,consID6,18,NULL
consResID329,raceID49,consID1,11,D
consResID330,raceID49,consID2,4,NULL
consResID331,raceID49,consID3,3,NULL
consResID332,raceID49,consID9,2,NULL
consResID333,raceID49,consID4,1,NULL
consResID334,raceID49,consID7,0,NULL
consResID335,raceID49,consID5,0,NULL
consResID336,raceID49,consID11,0,NULL
consResID337,raceID49,consID12,0,NULL
consResID338,raceID49,consID8,0,NULL
consResID339,raceID50,consID1,10,D
consResID340,raceID50,consID4,12,NULL
consResID341,raceID50,consID6,9,NULL
consResID342,raceID50,consID9,5,NULL
consResID343,raceID50,consID2,2,NULL
consResID344,raceID50,consID12,1,NULL
consResID345,raceID50,consID5,0,NULL
consResID346,raceID50,consID11,0,NULL
consResID347,raceID50,consID7,0,NULL
consResID348,raceID50,consID8,0,NULL
consResID349,raceID50,consID3,0,NULL
consResID350,raceID51,consID6,16,NULL
consResID351,raceID51,consID1,8,D
consResID352,raceID51,consID5,8,NULL
consResID353,raceID51,consID11,4,NULL
consResID354,raceID51,consID2,2,NULL
consResID355,raceID51,consID9,1,NULL
consResID356,raceID51,consID4,0,NULL
consResID357,raceID51,consID3,0,NULL
consResID358,raceID51,consID7,0,NULL
consResID359,raceID51,consID8,0,NULL
consResID360,raceID51,consID12,0,NULL
consResID361,raceID52,consID6,18,NULL
consResID362,raceID52,consID1,8,D
consResID363,raceID52,consID3,5,NULL
consResID364,raceID52,consID2,7,NULL
consResID365,raceID52,consID7,1,NULL
consResID366,raceID52,consID9,0,NULL
consResID367,raceID52,consID8,0,NULL
consResID368,raceID52,consID5,0,NULL
consResID369,raceID52,consID12,0,NULL
consResID370,raceID52,consID11,0,NULL
consResID371,raceID52,consID4,0,NULL
consResID372,raceID53,consID4,10,NULL
consResID373,raceID53,consID6,8,NULL
consResID374,raceID53,consID1,10,NULL
consResID375,raceID53,consID11,5,NULL
consResID376,raceID53,consID3,5,NULL
consResID377,raceID53,consID9,1,NULL
consResID378,raceID53,consID5,0,NULL
consResID379,raceID53,consID2,0,NULL
consResID380,raceID53,consID7,0,NULL
consResID381,raceID53,consID13,0,NULL
consResID382,raceID53,consID8,0,NULL
consResID383,raceID54,consID4,18,NULL
consResID384,raceID54,consID11,6,NULL
consResID385,raceID54,consID1,5,NULL
consResID386,raceID54,consID6,7,NULL
consResID387,raceID54,consID2,2,NULL
consResID388,raceID54,consID7,1,NULL
consResID389,raceID54,consID5,0,NULL
consResID390,raceID54,consID13,0,NULL
consResID391,raceID54,consID8,0,NULL
consResID392,raceID54,consID9,0,NULL
consResID393,raceID54,consID3,0,NULL
consResID394,raceID55,consID4,14,NULL
consResID395,raceID55,consID1,8,NULL
consResID396,raceID55,consID7,6,NULL
consResID397,raceID55,consID2,8,NULL
consResID398,raceID55,consID11,2,NULL
consResID399,raceID55,consID9,1,NULL
consResID400,raceID55,consID5,0,NULL
consResID401,raceID55,consID13,0,NULL
consResID402,raceID55,consID8,0,NULL
consResID403,raceID55,consID6,0,NULL
consResID404,raceID55,consID3,0,NULL
consResID405,raceID56,consID6,15,NULL
consResID406,raceID56,consID4,9,NULL
consResID407,raceID56,consID1,10,NULL
consResID408,raceID56,consID3,3,NULL
consResID409,raceID56,consID11,2,NULL
consResID410,raceID56,consID7,0,NULL
consResID411,raceID56,consID2,0,NULL
consResID412,raceID56,consID5,0,NULL
consResID413,raceID56,consID13,0,NULL
consResID414,raceID56,consID9,0,NULL
consResID415,raceID56,consID8,0,NULL
consResID416,raceID57,consID6,16,NULL
consResID417,raceID57,consID4,11,NULL
consResID418,raceID57,consID1,5,NULL
consResID419,raceID57,consID11,4,NULL
consResID420,raceID57,consID3,2,NULL
consResID421,raceID57,consID2,1,NULL
consResID422,raceID57,consID7,0,NULL
consResID423,raceID57,consID5,0,NULL
consResID424,raceID57,consID13,0,NULL
consResID425,raceID57,consID8,0,NULL
consResID426,raceID57,consID9,0,NULL
consResID427,raceID58,consID4,16,NULL
consResID428,raceID58,consID6,13,NULL
consResID429,raceID58,consID1,4,NULL
consResID430,raceID58,consID11,5,NULL
consResID431,raceID58,consID2,1,NULL
consResID432,raceID58,consID3,0,NULL
consResID433,raceID58,consID7,0,NULL
consResID434,raceID58,consID9,0,NULL
consResID435,raceID58,consID5,0,NULL
consResID436,raceID58,consID13,0,NULL
consResID437,raceID58,consID8,0,NULL
consResID438,raceID59,consID4,13,NULL
consResID439,raceID59,consID1,8,NULL
consResID440,raceID59,consID9,6,NULL
consResID441,raceID59,consID11,5,NULL
consResID442,raceID59,consID6,4,NULL
consResID443,raceID59,consID2,2,NULL
consResID444,raceID59,consID7,1,NULL
consResID445,raceID59,consID5,0,NULL
consResID446,raceID59,consID13,0,NULL
consResID447,raceID59,consID8,0,NULL
consResID448,raceID59,consID3,0,NULL
consResID449,raceID60,consID4,15,NULL
consResID450,raceID60,consID6,12,NULL
consResID451,raceID60,consID1,9,NULL
consResID452,raceID60,consID2,3,NULL
consResID453,raceID60,consID3,0,NULL
consResID454,raceID60,consID11,0,NULL
consResID455,raceID60,consID7,0,NULL
consResID456,raceID60,consID9,0,NULL
consResID457,raceID60,consID5,0,NULL
consResID458,raceID60,consID13,0,NULL
consResID459,raceID60,consID8,0,NULL
consResID460,raceID61,consID4,15,NULL
consResID461,raceID61,consID6,12,NULL
consResID462,raceID61,consID1,6,NULL
consResID463,raceID61,consID7,3,NULL
consResID464,raceID61,consID2,2,NULL
consResID465,raceID61,consID9,1,NULL
consResID466,raceID61,consID11,0,NULL
consResID467,raceID61,consID5,0,NULL
